,id,X_IMAGE,Y_IMAGE,ra,dec,z_use,f_F814W,f_F606W,f_F435W,e_F814W,e_F606W,e_F435W,mag_F814W
6213,20001,4809.555134916761,4686.001484090724,3.470681,-30.38435,0.4879,171.792,59.0733,8.43228,0.680569,0.5408029999999999,0.487897,19.41249266058602
6214,20002,4907.181646441487,4941.838260414577,3.4697379999999995,-30.382217999999998,0.4639,83.4867,28.2048,4.036,0.30709000000000003,0.161857,0.135857,20.19595676268837
6215,20003,4488.655291926895,5245.677944131079,3.473781,-30.379686,0.4859,42.7968,15.0565,2.7814400000000004,0.288097,0.17131300000000002,0.114567,20.921471757040532
6216,20004,5672.667966577055,5573.713076150812,3.4623440000000003,-30.376952000000003,0.3123,163.525,71.9131,13.4186,1.4006,0.661353,0.187503,19.466039605489993
6217,20005,5551.190847026184,5122.405681956451,3.463517,-30.380713,0.2695,58.6023,28.5276,6.2886,0.43863199999999997,0.268486,0.112826,20.580213346571398
6218,20006,2934.27197843442,5278.672608576511,3.488796,-30.379409999999996,0.3129,134.607,56.5337,9.61191,0.7051229999999999,0.337225,0.11990899999999999,19.677330887012545
6219,20007,4485.7475952713085,2846.2922431013994,3.4738089999999997,-30.399681,0.314,111.052,49.8432,10.2221,1.41196,1.0742200000000002,0.31708400000000003,19.88618403895846
6220,20008,5496.7720673114345,3189.8212501666703,3.4640410000000004,-30.396818,0.3866,37.9875,14.0262,2.2561299999999997,0.41271499999999994,0.19476500000000002,0.108633,21.05089821728
6221,20009,3830.092151453616,6422.003039143626,3.480142,-30.369883,0.3768,43.7804,14.8065,2.1231299999999997,0.529008,0.243881,0.102004,20.89680068703676
6222,20010,3734.2239582976995,6379.516154344951,3.481068,-30.370237,0.4472,53.6407,20.4556,4.7485,0.630984,0.293178,0.15626700000000002,20.676263908326558
6223,20011,3735.267426788352,2805.577578452424,3.48106,-30.40002,0.2863,43.5254,21.1453,4.61851,0.6171270000000001,0.387383,0.169725,20.903143072525744
6224,20012,2154.136507578135,6836.962967439202,3.4963290000000002,-30.366422999999998,0.3135,223.02,99.8508,18.8278,2.06062,1.15504,0.458804,19.129140471301575
6225,20013,5679.076888486473,7444.861418525936,3.4622839999999995,-30.361359000000004,0.4962,180.825,61.3284,8.60776,0.46044300000000005,0.340181,0.26268,19.356853815577114
6226,20014,5685.494276786592,7424.4609768216005,3.462222,-30.361528999999997,0.2083,11.8856,3.9411699999999996,0.523729,0.139484,0.05476810000000001,0.013353799999999999,22.312447224130224
6227,20015,3021.9727224099342,6844.435842062972,3.487947,-30.366362,0.4876,33.1419,10.7524,1.6890599999999998,0.774384,0.41428000000000004,0.0988464,21.19905649357397
6228,20016,2489.319765821969,5365.478345414216,3.493094,-30.378686,0.4001,9.85293,5.31544,1.10374,0.17837,0.13666099999999998,0.13580699999999998,22.51608650659559
6229,20017,5315.53280113693,4518.464930227592,3.465793,-30.385746,0.3998,20.8704,7.36101,1.09279,0.16078499999999998,0.11227100000000001,0.0770279,21.70117306802539
6230,20018,5638.705698071401,3485.4884503698986,3.4626699999999997,-30.394353999999996,0.3316,14.7611,7.473319999999999,1.85607,0.130466,0.0972301,0.0789797,22.07720319399762
6231,20019,4840.988016283654,6660.829203912175,3.4703779999999997,-30.367893,0.3954,36.854,13.4221,2.69933,0.44487899999999997,0.344604,0.209392,21.083788421232086
6232,20020,820.2929544349977,4127.258505239536,3.5092199999999996,-30.389001,0.314,190.608,90.0524,19.779,0.6044109999999999,0.263241,0.5071439999999999,19.299647188901325
6233,20021,852.2041507182244,4030.7894605205847,3.5089120000000005,-30.389805,0.2824,17.0024,9.019969999999999,2.42036,0.15173299999999998,0.086578,0.13630599999999998,21.923724426967713
6234,20022,510.4308902410189,4279.072167327968,3.5122129999999996,-30.387735,0.3167,95.1521,43.9604,8.93467,0.405369,0.316963,0.11588499999999999,20.053954056058068
6235,20023,1174.1017549473577,4109.009017436683,3.5058019999999996,-30.389153999999998,0.2303,58.5807,28.1859,6.05525,0.205521,0.0970568,0.07887330000000001,20.58061360774048
6236,20024,5587.972337449311,7564.268308804273,3.463164,-30.360364,0.3937,87.9272,35.5848,7.545789999999999,1.94655,1.22345,1.30925,20.139691891308978
6237,20025,3046.766017219463,7309.676530382856,3.487707,-30.362484999999996,0.2244,42.3249,20.3366,4.53627,0.9554379999999999,0.5844729999999999,0.143933,20.933510148286757
6238,20026,2473.833638029744,3879.404302547186,3.493246,-30.391070000000003,0.2291,30.6092,14.7851,3.36945,0.35191300000000003,0.24340900000000001,0.08149810000000002,21.285370052364534
6239,20027,5693.362482027671,7415.940333814215,3.4621459999999997,-30.3616,0.807,2.61164,0.614989,0.06760830000000001,0.0875309,0.0442922,0.019823,23.957716720855256
