,F_r,F_t,ThL,N,a,lens_id,z_use,name,f435w-f606w,f435w-f814w,f814w-f606w,rchi2,SNR,lens_Mag_F814W,lens_z
9,0.007060714289894226,0.010680406519817413,14.178577622041324,1.0,0.2869343056418273,148.0,0.4749,macs0416_68,1.9041999999999997,2.3522,-0.4480000000000004,0.31512805430287866,44.66011013729553,-20.027797443944618,0.389
10,-0.007320184103359362,-0.01050426934179621,14.505954203940634,2.0,0.2869343056418273,153.0,0.4749,macs0416_68,1.9041999999999997,2.3522,-0.4480000000000004,0.31512805430287866,44.66011013729553,-19.89150781697352,0.3936
11,-0.012785085059971479,-0.0006829126747754316,15.643670917221165,3.0,0.2869343056418273,149.0,0.4749,macs0416_68,1.9041999999999997,2.3522,-0.4480000000000004,0.31512805430287866,44.66011013729553,-18.86854454949952,0.3992
12,-0.0047595863728806965,-0.011885752280405445,20.255940196918704,4.0,0.2869343056418273,150.0,0.4749,macs0416_68,1.9041999999999997,2.3522,-0.4480000000000004,0.31512805430287866,44.66011013729553,-21.22454154934908,0.3949
13,0.012782762858269214,-0.0007250816652818762,27.4551815529573,5.0,0.2869343056418273,147.0,0.4749,macs0416_68,1.9041999999999997,2.3522,-0.4480000000000004,0.31512805430287866,44.66011013729553,-20.984704599801184,0.3911
14,-0.09989393366251863,0.60247387453535,12.206701089072235,1.0,0.23179704944309842,153.0,2.6677,macs0416_79,1.0147000000000013,0.5553000000000026,0.4593999999999987,0.7482502963119516,40.853703471659635,-19.89150781697352,0.3936
15,0.48168424134520843,0.375411586288835,13.646317761274386,2.0,0.23179704944309842,149.0,2.6677,macs0416_79,1.0147000000000013,0.5553000000000026,0.4593999999999987,0.7482502963119516,40.853703471659635,-18.86854454949952,0.3992
16,0.043200415402592174,-0.6091693455758027,16.506355792145083,3.0,0.23179704944309842,148.0,2.6677,macs0416_79,1.0147000000000013,0.5553000000000026,0.4593999999999987,0.7482502963119516,40.853703471659635,-20.027797443944618,0.389
17,-0.23670588398974668,0.5629599381526548,18.218672187004927,4.0,0.23179704944309842,150.0,2.6677,macs0416_79,1.0147000000000013,0.5553000000000026,0.4593999999999987,0.7482502963119516,40.853703471659635,-21.22454154934908,0.3949
18,-0.46572539265695023,-0.39503598078496327,29.400228189057312,5.0,0.23179704944309842,147.0,2.6677,macs0416_79,1.0147000000000013,0.5553000000000026,0.4593999999999987,0.7482502963119516,40.853703471659635,-20.984704599801184,0.3911
19,0.13658050362230229,0.13245615543237338,14.324485918569815,1.0,0.25811103481259456,148.0,1.1877,macs0416_89,0.972800000000003,0.8367000000000004,0.13610000000000255,0.3950802919603932,21.38288359113773,-20.027797443944618,0.389
20,0.11701601143364673,-0.15002039911227885,17.437726478669607,2.0,0.25811103481259456,147.0,1.1877,macs0416_89,0.972800000000003,0.8367000000000004,0.13610000000000255,0.3950802919603932,21.38288359113773,-20.984704599801184,0.3911
21,-0.16956730273264134,0.08628903131698457,20.637343259844133,3.0,0.25811103481259456,153.0,1.1877,macs0416_89,0.972800000000003,0.8367000000000004,0.13610000000000255,0.3950802919603932,21.38288359113773,-19.89150781697352,0.3936
22,-0.18653051809716678,0.03748643621430711,24.048631823164726,4.0,0.25811103481259456,150.0,1.1877,macs0416_89,0.972800000000003,0.8367000000000004,0.13610000000000255,0.3950802919603932,21.38288359113773,-21.22454154934908,0.3949
23,-0.10098418291998443,0.1612484476875046,25.655792879556937,5.0,0.25811103481259456,149.0,1.1877,macs0416_89,0.972800000000003,0.8367000000000004,0.13610000000000255,0.3950802919603932,21.38288359113773,-18.86854454949952,0.3992
