,NAME,z_use,X_WORLD,Y_WORLD,SNR,FROM,epoch,f435w-f606w,f435w-f814w,f814w-f606w,mag_F814W,xc,yc,ns,rs,q,phi,psi11,psi12,psi22,psi111,psi112,psi122,psi222,err_xc,err_yc,err_ns,err_rs,err_q,err_phi,err_psi11,err_psi12,err_psi22,err_psi111,err_psi112,err_psi122,err_psi222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,a_pix,G1_fit,G2_fit,f1,f2,g1,g2,F,F_pix,G,stamp-size,X_IMAGE,Y_IMAGE,xs,ys,overlap_flag
72,macs0416_476,0.8535,64.03978323,-24.09729872,24.38970735,f606w_w_f814w,1,1.3405,1.6061,-0.2656,25.51134972,-1.884330205,-2.232879289,1.371687611,1.368280449,1.314279072,-1.577650459,0,0,0,-0.016548378,0.001753176,0.030120851,-0.027186391,0.021102656,0.035120613,0.011349702,0.017025627,0.021474625,0.032244258,0,0,0,0.003938347,0.00209541,0.001282662,0.001850501,0.928659932,0.006786237,-0.012716608,0.254684366,-113.3793912,45.56570296,24.15454243,-36.87062666,-0.003413818,0.000245099,1,0,0.000394321,0.000302086,-0.536779331,-1.706782226,8.489478872,-0.053455465,0.016222959,0.226207892,-0.423886925,-1.781848847,0.540765311,0.480468662,0.01441406,1.862098933,46,4368.747005,1965.31788,131.0624101,58.9595364,0
73,macs0416_488,4.3863,64.01828964,-24.09743487,25.48038544,f814w_w_f814w,1,1.4361,2.2061,-0.77,26.77246081,-1.577443489,-1.527063843,1.019551275,2.391718739,1.373958849,-0.569592509,0,0,0,0.005176147,-0.015672509,0.000919689,-0.026946217,0.149035565,0.149756737,0.035492291,0.086595256,0.074729279,0.086567462,0,0,0,0.01251045,0.008311276,0.00846064,0.013543995,0.26411187,0.003047918,-0.021309363,0.203687223,16.85582051,-20.0364791,0.564990674,-39.42413487,0.010188533,-0.030814487,0,0,0.000217689,0.000295924,0.624753643,-1.607574369,6.789574099,0.00120854,-0.010035655,0.101597263,-0.710312101,0.040284653,-0.334521831,0.717541138,0.021526234,0.336938732,44,6723.204187,1948.844628,201.6961256,58.46533883,0
74,macs0416_491,4.6052,64.04682621,-24.0971538,32.56328491,f814w_w_f814w,1,2.3852,2.495,-0.1098,26.58691669,-1.651342068,-1.506207419,0.845835564,2.395333734,2.340290437,1.439848821,0,0,0,-0.02958348,0.01248817,0.004516388,-0.008952948,0.079704325,0.15693168,0.022562765,0.053002354,0.08729558,0.018596579,0,0,0,0.012405893,0.005539488,0.00381785,0.005930251,0.469202053,-0.012533546,0.001767611,0.237143341,23.18086512,-7.403751735,17.18620242,-139.0477295,0.014890209,-0.009521825,0,0,0.000314289,0.000329525,0.101267521,-1.976181081,7.904778034,-0.021566322,0.023208729,-0.417784867,0.058920376,-0.718877399,0.773624297,0.421919194,0.012657576,1.056067833,47,3597.240828,1982.672999,107.9172248,59.48018998,0
80,macs0416_548,0.9246,64.03618392,-24.09653299,23.80775848,f814w_w_f814w,1,1.7672,2.0524,-0.2852,27.35831899,-1.369996707,-2.896424416,1.066118082,1.825087045,1.448576429,-1.308540506,0,0,0,0.008147698,0.033546157,0.001566989,0.005346086,0.107983102,0.134096273,0.037308033,0.068826722,0.085906168,0.077570271,0,0,0,0.015927782,0.009769059,0.009039114,0.013918962,0.388175306,0.004857343,0.019446122,0.175399897,10.81869411,17.69237129,-1.507309814,11.0482068,0.013031833,0.013577268,0,0,0.000230198,0.000301963,0.550992032,-1.6931245,5.84666322,0.001723366,0.047646193,0.161911442,0.648204054,0.057445522,1.588206434,0.668119608,0.020043588,1.589244998,38,4763.025049,2057.207423,142.8907515,61.71622269,0
81,macs0416_552,3.2033,64.01705157,-24.09630392,24.85268605,f606w_w_f814w,1,1.6844,1.3662,0.3182,26.06297215,-1.119559927,-1.692552632,0.706861133,2.9886621,1.831249013,1.290127753,0,0,0,-0.002699631,0.008236338,-0.005846544,0.008806568,0.078226709,0.11002666,0.015065768,0.043983002,0.04483654,0.019621705,0,0,0,0.011118122,0.005033773,0.003788203,0.004902002,0.294552548,-0.004273087,0.008521453,0.203814378,17.60125578,8.949903463,-6.487969774,11.38315082,0.003046003,0.005100832,0,0,0.000256498,0.000307268,0.36480547,-1.86355535,6.793812604,0.00742,0.007951223,-0.142436249,0.284048429,0.247333329,0.26504077,0.317760279,0.009532808,0.362519496,45,6858.844593,2084.539892,205.7653378,62.53619677,0
83,macs0416_558,1.1825,64.03534071,-24.09620364,32.8545551,f814w_w_f814w,1,0.8705,1.1096,-0.2391,25.65582792,-1.409390698,-1.173645879,0.92845585,2.867202609,2.582786161,0.741871457,0,0,0,-0.016360672,-0.004841304,0.007438882,-0.026098286,0.103367537,0.121087744,0.017857235,0.088682597,0.144541085,0.012984651,0,0,0,0.003480548,0.002099675,0.001698493,0.004120595,0.425867598,-0.004460895,-0.015469795,0.346784892,-213.5144764,-188.9947368,-17.07914364,-94.88586377,-0.000481976,-0.008676128,0,0,0.000285457,0.000312157,0.181526812,-1.962080711,11.55949641,-0.019338659,0.005787188,-0.148696505,-0.515659831,-0.644621974,0.192906263,0.536670953,0.016100129,0.672867234,70,4855.393136,2096.728559,145.6617941,62.90185678,0
85,macs0416_568,1.3995,64.03707763,-24.096091,23.95932213,f606w_w_f814w,1,0.9976,0.7223,0.2753,26.49337519,-0.935977923,-2.332675494,1.801848719,0.380631601,2.047342722,-0.008522613,0,0,0,-0.011149449,-0.015669439,-0.019615805,0.063140294,0.063355375,0.037600889,0.029541223,0.012299338,0.074112303,0.024098723,0,0,0,0.005757483,0.004333277,0.004796409,0.007589862,0.470803534,-0.015382627,0.023735428,0.207414232,46.85131068,-20.32304804,-10.62004605,3.315403397,0.003654629,0.000147307,0,0,0.00026443,0.000309314,0.316046683,-1.897658419,6.913807748,0.023848982,-0.055074305,-0.512754233,0.791180923,0.79496607,-1.835810183,0.942806532,0.028284196,2.000542447,43,4665.124544,2110.246306,139.9537363,63.30738919,0
86,macs0416_577,3.2702,64.01660824,-24.09594208,21.5746458,f814w_w_f814w,1,1.6373,1.8634,-0.2261,26.18133771,-2.2247735,-1.502591547,1.229405824,2.323724804,1.215445648,-0.260280672,0,0,0,0.000882039,0.006030859,0.019255084,-0.023200548,0.204554675,0.190969164,0.069220716,0.136502495,0.110410993,0.229318326,0,0,0,0.020331445,0.012870369,0.013103329,0.02404621,0.292567605,0.010068562,-0.008584844,0.182806989,44.05468148,-15.45999132,32.49874644,7.143286319,0.028060966,-0.00265098,0,0,0.000148849,0.000265973,1.228672389,-0.486943567,6.093566287,-0.028441606,0.020646562,0.335618721,-0.28616148,-0.948053541,0.688218744,0.441053646,0.013231609,1.17151635,60,6907.414745,2127.953932,207.2224424,63.83861795,0
87,macs0416_580,4.2181,64.04337886,-24.09583273,46.15046848,f814w_w_f814w,1,4.3906,4.6156,-0.225,25.74431796,-1.781262202,-1.592248275,0.35962671,3.409069135,1.740481787,0.347630994,0,0,0,0.010501122,0.030316767,-0.016230218,-0.005739741,0.150891723,0.151925889,0.015085085,0.059931804,0.049802128,0.026749708,0,0,0,0.008882628,0.006028285,0.008520208,0.026695553,0.667034614,-0.002864548,0.012288513,0.166266392,10.76251325,1.965428987,-5.633314787,-2.427774176,-0.000427438,0.003120976,0,0,0.000294434,0.000314028,0.131482963,-1.977599026,5.542213056,0.029595888,0.048345021,-0.095484936,0.40961711,0.986529603,1.611500712,0.420599037,0.012617971,1.889490725,38,3974.864559,2141.224082,119.2459368,64.23672247,0
90,macs0416_604,0.4373,64.04497903,-24.09538343,29.82694303,f814w_w_f814w,1,72.7755,72.8107,-0.0352,25.45517639,-1.989942311,-2.533725272,1.053350267,3.791092442,1.616912965,1.005570236,0,0,0,0.006386777,0.001055971,-0.004920244,0.00664444,0.113221356,0.121830223,0.021984282,0.081900997,0.050150738,0.031614154,0,0,0,0.004733175,0.005067171,0.004384431,0.002671825,0.451723083,0.000733267,0.003850205,0.323752999,42.98107919,-102.2705003,-85.28431291,-127.4030992,0.004539141,-0.008995423,0,0,0.000316913,0.000333893,0.13823682,-1.903967321,10.79176662,0.010573755,-0.001738264,0.024442224,0.128340173,0.352458491,-0.057942125,0.130646938,0.003919408,0.357189415,69,3799.573685,2195.130267,113.9872106,65.85390802,0
